Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
G,D1,1,CourseM1,CM1,Minor,3,99
G,D1,1,CourseM2,CM2,Major,4,96
G,D1,1,CourseM3,CM3,Major,4,92
G,D1,1,CourseM4,CM4,Major,4,90
G,D1,2,CourseD1,CM5,Minor,3,89
G,D1,2,CourseD2,CM6,Minor,3,95
G,D1,2,CourseD3,CM7,Major,4,86
G,D1,2,CourseM1,CM1,Minor,3,96
G,D1,3,CourseM2,CM2,Major,4,92
G,D1,3,CourseM3,CM3,Major,4,83
G,D1,3,CourseM4,CM4,Major,4,95
G,D1,3,CourseD1,CM5,Minor,3,97
G,D1,4,CourseD2,CM6,Minor,3,95
G,D1,4,CourseD3,CM7,Major,4,92
G,D1,4,CourseM1,CM1,Minor,3,98
G,D1,4,CourseM2,CM2,Major,4,91
G,D1,5,CourseM3,CM3,Major,4,95
G,D1,5,CourseM4,CM4,Major,4,93
G,D1,5,CourseD1,CM5,Minor,3,94
G,D1,5,CourseD2,CM6,Minor,3,92
G,D1,6,CourseD3,CM7,Major,4,94
G,D1,6,CourseM1,CM1,Minor,3,96
G,D1,6,CourseM2,CM2,Major,4,96
G,D1,6,CourseM3,CM3,Major,4,98
G,D1,7,CourseM4,CM4,Major,4,90
G,D1,7,CourseD1,CM5,Minor,3,90
G,D1,7,CourseD2,CM6,Minor,3,98
G,D1,7,CourseD3,CM7,Major,4,83
