Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseA1,CA1,Major,3,75
U,BS1,1,CourseA6,CA6,Minor,4,76
U,BS1,1,CourseA2,CA2,Major,3,77
U,BS1,2,CourseA11,CA11,Major,3,78
U,BS1,2,CourseA16,CA16,Minor,4,60
U,BS1,2,CourseA12,CA12,Major,3,81
U,BS1,3,CourseA21,CA21,Major,3,82
U,BS1,3,CourseA26,CA26,Minor,4,81
U,BS1,3,CourseA22,CA22,Major,3,82
U,BS1,4,CourseA31,CA31,Minor,3,83
U,BS1,4,Course30,CA30,Minor,3,70
U,BS1,4,CourseA15,CA15,Major,3,80
U,BS1,5,CourseA2,CA2,Major,4,76
U,BS1,5,CourseA17,CA17,Minor,3,90
U,BS1,5,CourseA18,CA18,Major,3,95
U,BS1,6,CourseA19,CA19,Minor,3,80
U,BS1,6,CourseA20,CA20,Major,4,84
U,BS1,6,CourseA21,CA21,Major,3,80
U,BS1,7,CourseA28,CA28,Minor,3,91
U,BS1,7,CourseA23,CA23,Major,3,80
U,BS1,7,CourseA24,CA24,Major,4,75
