Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseU1,CU1,Minor,3,98
U,BS1,1,CourseU2,CU2,Major,4,96
U,BS1,1,CourseU3,CU3,Minor,3,93
U,BS1,2,CourseU4,CU4,Major,4,98
U,BS1,2,CourseU5,CU5,Minor,3,99
U,BS1,2,CourseU6,CU6,Major,4,96
U,BS1,3,CourseU7,CU7,Major,4,95
U,BS1,3,CourseU8,CU8,Major,4,92
U,BS1,3,CourseU1,CU1,Minor,3,90
U,BS1,4,CourseU2,CU2,Minor,3,89
U,BS1,4,CourseU3,CU3,Minor,3,86
U,BS1,4,CourseU4,CU4,Major,4,89
U,BS1,5,CourseU5,CU5,Minor,3,90
U,BS1,5,CourseU6,CU6,Major,4,97
U,BS1,5,CourseU7,CU7,Major,4,92
U,BS1,6,CourseU8,CU8,Major,4,93
U,BS1,6,CourseU1,CU1,Minor,3,98
U,BS1,6,CourseU2,CU2,Minor,3,95
U,BS1,7,CourseU3,CU3,Minor,3,91
U,BS1,7,CourseU4,CU4,Major,4,94
U,BS1,7,CourseU5,CU5,Major,4,93
U,BS1,8,CourseU6,CU6,Major,4,95
U,BS1,8,CourseU7,CU7,Minor,3,97
U,BS1,8,CourseU8,CU8,Major,4,95
G,M1,1,CourseM1,CM1,Minor,3,92
G,M1,1,CourseM2,CM2,Major,4,93
G,M1,1,CourseM3,CM3,Major,4,95
G,M1,1,CourseM1,CM1,Minor,3,92
G,M1,2,CourseM2,CM2,Major,4,92
G,M1,2,CourseM3,CM3,Major,4,91
G,M1,2,CourseM1,CM1,Minor,3,92
G,M1,2,CourseM2,CM2,Major,4,92
G,M1,3,CourseM3,CM3,Major,4,92
G,M1,3,CourseM1,CM1,Minor,3,92
G,M1,3,CourseM2,CM2,Major,4,92
G,M1,3,CourseM3,CM3,Major,4,92
