Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseA1,CA1,Major,3,75
U,BS1,1,CourseA2,CA2,Minor,4,76
U,BS1,1,CourseA3,CA3,Major,3,77
U,BS1,2,CourseA4,CA4,Minor,3,60
U,BS1,2,CourseA5,CA5,Major,3,75
U,BS1,1,CourseA6,CA6,Major,3,81
U,BS1,3,CourseA7,CA7,Major,3,80
U,BS1,3,CourseA8,CA8,Minor,3,82
U,BS1,1,CourseA9,CA9,Minor,3,83
U,BS1,3,CourseA10,CA10,Major,3,75
G,M1,1,CourseA11,CA11,Major,3,85
G,M1,1,CourseA12,CA12,Minor,4,77
G,M1,2,CourseA13,CA13,Major,3,75
G,M1,2,CourseA14,CA14,Minor,3,63
G,M1,3,CourseA15,CA15,Major,3,75
G,M1,3,CourseA16,CA16,Minor,3,84
G,M1,4,CourseA17,CA17,Major,3,80
G,M1,4,CourseA18,CA18,Minor,3,85
G,M1,4,CourseA19,CA19,Minor,3,87
G,M1,4,CourseA20,CA20,Major,3,75
